x;y;u;v;column;row
0.133333;0.312500;0.133333;0.312500;2;10
0.200000;0.312500;0.200000;0.312500;3;10
0.266667;0.312500;0.266667;0.312500;4;10
0.333333;0.312500;0.333333;0.312500;5;10
0.400000;0.312500;0.400000;0.312500;6;10
0.466667;0.312500;0.466667;0.312500;7;10
0.533333;0.312500;0.533333;0.312500;8;10
0.600000;0.312500;0.600000;0.312500;9;10
0.666667;0.312500;0.666667;0.312500;10;10
0.733333;0.312500;0.733333;0.312500;11;10
0.800000;0.312500;0.800000;0.312500;12;10
0.866667;0.312500;0.866667;0.312500;13;10
0.933333;0.312500;0.933333;0.312500;14;10
1.000000;0.312500;1.000000;0.312500;15;10
0.000000;0.343750;0.000000;0.343750;0;11
0.066667;0.343750;0.066667;0.343750;1;11
0.133333;0.343750;0.133333;0.343750;2;11
0.200000;0.343750;0.200000;0.343750;3;11
0.266667;0.343750;0.266667;0.343750;4;11
0.333333;0.343750;0.333333;0.343750;5;11
0.400000;0.343750;0.400000;0.343750;6;11
0.466667;0.343750;0.466667;0.343750;7;11
0.533333;0.343750;0.533333;0.343750;8;11
0.600000;0.343750;0.600000;0.343750;9;11
0.666667;0.343750;0.666667;0.343750;10;11
0.733333;0.343750;0.733333;0.343750;11;11
0.800000;0.343750;0.800000;0.343750;12;11
0.866667;0.343750;0.866667;0.343750;13;11
0.933333;0.343750;0.933333;0.343750;14;11
1.000000;0.343750;1.000000;0.343750;15;11
0.000000;0.375000;0.000000;0.375000;0;12
0.066667;0.375000;0.066667;0.375000;1;12
0.133333;0.375000;0.133333;0.375000;2;12
0.200000;0.375000;0.200000;0.375000;3;12
0.266667;0.375000;0.266667;0.375000;4;12
0.333333;0.375000;0.333333;0.375000;5;12
0.400000;0.375000;0.400000;0.375000;6;12
0.466667;0.375000;0.466667;0.375000;7;12
0.533333;0.375000;0.533333;0.375000;8;12
0.600000;0.375000;0.600000;0.375000;9;12
0.666667;0.375000;0.666667;0.375000;10;12
0.733333;0.375000;0.733333;0.375000;11;12
0.800000;0.375000;0.800000;0.375000;12;12
0.866667;0.375000;0.866667;0.375000;13;12
0.933333;0.375000;0.933333;0.375000;14;12
1.000000;0.375000;1.000000;0.375000;15;12
0.000000;0.406250;0.000000;0.406250;0;13
0.066667;0.406250;0.066667;0.406250;1;13
0.133333;0.406250;0.133333;0.406250;2;13
0.200000;0.406250;0.200000;0.406250;3;13
0.266667;0.406250;0.266667;0.406250;4;13
0.333333;0.406250;0.333333;0.406250;5;13
0.400000;0.406250;0.400000;0.406250;6;13
0.466667;0.406250;0.466667;0.406250;7;13
0.533333;0.406250;0.533333;0.406250;8;13
0.600000;0.406250;0.600000;0.406250;9;13
0.666667;0.406250;0.666667;0.406250;10;13
0.733333;0.406250;0.733333;0.406250;11;13
0.800000;0.406250;0.800000;0.406250;12;13
0.866667;0.406250;0.866667;0.406250;13;13
0.933333;0.406250;0.933333;0.406250;14;13
1.000000;0.406250;1.000000;0.406250;15;13
0.000000;0.437500;0.000000;0.437500;0;14
0.066667;0.437500;0.066667;0.437500;1;14
0.133333;0.437500;0.133333;0.437500;2;14
0.200000;0.437500;0.200000;0.437500;3;14
0.266667;0.437500;0.266667;0.437500;4;14
0.333333;0.437500;0.333333;0.437500;5;14
0.400000;0.437500;0.400000;0.437500;6;14
0.466667;0.437500;0.466667;0.437500;7;14
0.533333;0.437500;0.533333;0.437500;8;14
0.600000;0.437500;0.600000;0.437500;9;14
0.666667;0.437500;0.666667;0.437500;10;14
0.733333;0.437500;0.733333;0.437500;11;14
0.800000;0.437500;0.800000;0.437500;12;14
0.866667;0.437500;0.866667;0.437500;13;14
0.933333;0.437500;0.933333;0.437500;14;14
1.000000;0.437500;1.000000;0.437500;15;14
0.000000;0.468750;0.000000;0.468750;0;15
0.066667;0.468750;0.066667;0.468750;1;15
0.133333;0.468750;0.133333;0.468750;2;15
0.200000;0.468750;0.200000;0.468750;3;15
0.266667;0.468750;0.266667;0.468750;4;15
0.333333;0.468750;0.333333;0.468750;5;15
0.400000;0.468750;0.400000;0.468750;6;15
0.466667;0.468750;0.466667;0.468750;7;15
0.533333;0.468750;0.533333;0.468750;8;15
0.600000;0.468750;0.600000;0.468750;9;15
0.666667;0.468750;0.666667;0.468750;10;15
0.733333;0.468750;0.733333;0.468750;11;15
0.800000;0.468750;0.800000;0.468750;12;15
0.866667;0.468750;0.866667;0.468750;13;15
0.933333;0.468750;0.933333;0.468750;14;15
